timestamp,rangers_cents,rangers_decimal,rangers_probability,blackhawks_cents,blackhawks_decimal,blackhawks_probability,latency_ms
2025-12-11 00:58:35.143,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 00:58:36.068,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 00:58:37.005,60,1.67,0.60,48,2.10,0.48,426
2025-12-11 00:58:37.974,60,1.67,0.60,48,2.10,0.48,459
2025-12-11 00:58:38.902,60,1.67,0.60,48,2.10,0.48,417
2025-12-11 00:58:39.837,60,1.67,0.60,48,2.10,0.48,430
2025-12-11 00:58:40.789,60,1.67,0.60,48,2.10,0.48,441
2025-12-11 00:58:41.735,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 00:58:42.664,60,1.67,0.60,48,2.10,0.48,419
2025-12-11 00:58:43.632,60,1.67,0.60,48,2.10,0.48,465
2025-12-11 00:58:44.560,60,1.67,0.60,48,2.10,0.48,418
2025-12-11 00:58:45.485,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 00:58:46.419,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 00:58:47.345,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 00:58:48.291,60,1.67,0.60,48,2.10,0.48,436
2025-12-11 00:58:49.221,60,1.67,0.60,48,2.10,0.48,419
2025-12-11 00:58:50.164,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 00:58:51.091,60,1.67,0.60,48,2.10,0.48,417
2025-12-11 00:58:52.023,60,1.67,0.60,48,2.10,0.48,422
2025-12-11 00:58:52.960,60,1.67,0.60,48,2.10,0.48,426
2025-12-11 00:58:53.902,60,1.67,0.60,48,2.10,0.48,431
2025-12-11 00:58:54.829,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 00:58:56.872,60,1.67,0.60,48,2.10,0.48,449
2025-12-11 00:58:57.817,60,1.67,0.60,48,2.10,0.48,434
2025-12-11 00:58:58.764,60,1.67,0.60,48,2.10,0.48,436
2025-12-11 00:58:59.704,60,1.67,0.60,48,2.10,0.48,430
2025-12-11 00:59:00.638,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 00:59:01.569,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 00:59:02.512,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 00:59:03.453,60,1.67,0.60,48,2.10,0.48,430
2025-12-11 00:59:04.402,60,1.67,0.60,48,2.10,0.48,443
2025-12-11 00:59:05.329,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 00:59:06.256,60,1.67,0.60,48,2.10,0.48,424
2025-12-11 00:59:07.194,60,1.67,0.60,48,2.10,0.48,427
2025-12-11 00:59:08.132,60,1.67,0.60,48,2.10,0.48,437
2025-12-11 00:59:09.059,60,1.67,0.60,48,2.10,0.48,417
2025-12-11 00:59:09.991,60,1.67,0.60,48,2.10,0.48,428
2025-12-11 00:59:10.914,60,1.67,0.60,48,2.10,0.48,419
2025-12-11 00:59:11.838,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 00:59:12.787,60,1.67,0.60,48,2.10,0.48,439
2025-12-11 00:59:13.745,60,1.67,0.60,48,2.10,0.48,452
2025-12-11 00:59:14.677,60,1.67,0.60,48,2.10,0.48,422
2025-12-11 00:59:15.614,60,1.67,0.60,48,2.10,0.48,431
2025-12-11 00:59:16.543,60,1.67,0.60,48,2.10,0.48,418
2025-12-11 00:59:17.485,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 00:59:18.418,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 00:59:19.354,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 00:59:20.298,60,1.67,0.60,48,2.10,0.48,434
2025-12-11 00:59:21.227,60,1.67,0.60,48,2.10,0.48,418
2025-12-11 00:59:22.144,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 00:59:23.080,60,1.67,0.60,48,2.10,0.48,431
2025-12-11 00:59:24.057,60,1.67,0.60,48,2.10,0.48,467
2025-12-11 00:59:25.020,60,1.67,0.60,48,2.10,0.48,453
2025-12-11 00:59:29.894,60,1.67,0.60,48,2.10,0.48,447
2025-12-11 00:59:30.819,60,1.67,0.60,48,2.10,0.48,415
2025-12-11 00:59:31.750,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 00:59:32.697,60,1.67,0.60,48,2.10,0.48,436
2025-12-11 00:59:33.629,60,1.67,0.60,48,2.10,0.48,427
2025-12-11 00:59:34.559,60,1.67,0.60,48,2.10,0.48,422
2025-12-11 00:59:35.497,60,1.67,0.60,48,2.10,0.48,429
2025-12-11 00:59:36.420,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 00:59:37.356,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 00:59:38.296,60,1.67,0.60,48,2.10,0.48,429
2025-12-11 00:59:39.244,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 00:59:40.178,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 00:59:41.112,60,1.67,0.60,48,2.10,0.48,424
2025-12-11 00:59:42.071,60,1.67,0.60,48,2.10,0.48,448
2025-12-11 00:59:43.004,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 00:59:43.946,60,1.67,0.60,48,2.10,0.48,431
2025-12-11 00:59:44.903,60,1.67,0.60,48,2.10,0.48,446
2025-12-11 00:59:45.848,60,1.67,0.60,48,2.10,0.48,434
2025-12-11 00:59:46.802,60,1.67,0.60,48,2.10,0.48,450
2025-12-11 00:59:47.753,60,1.67,0.60,48,2.10,0.48,447
2025-12-11 00:59:48.714,60,1.67,0.60,48,2.10,0.48,450
2025-12-11 00:59:49.639,60,1.67,0.60,48,2.10,0.48,414
2025-12-11 00:59:50.592,60,1.67,0.60,48,2.10,0.48,443
2025-12-11 00:59:51.539,60,1.67,0.60,48,2.10,0.48,436
2025-12-11 00:59:52.466,60,1.67,0.60,48,2.10,0.48,418
2025-12-11 00:59:53.410,60,1.67,0.60,48,2.10,0.48,433
2025-12-11 00:59:54.361,60,1.67,0.60,48,2.10,0.48,444
2025-12-11 00:59:57.768,60,1.67,0.60,48,2.10,0.48,450
2025-12-11 00:59:58.702,60,1.67,0.60,48,2.10,0.48,424
2025-12-11 00:59:59.653,60,1.67,0.60,48,2.10,0.48,444
2025-12-11 01:00:00.608,60,1.67,0.60,48,2.10,0.48,444
2025-12-11 01:00:01.539,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 01:00:02.485,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 01:00:03.436,60,1.67,0.60,48,2.10,0.48,441
2025-12-11 01:00:04.364,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 01:00:05.297,60,1.67,0.60,48,2.10,0.48,422
2025-12-11 01:00:06.223,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 01:00:07.164,60,1.67,0.60,48,2.10,0.48,436
2025-12-11 01:00:08.093,60,1.67,0.60,48,2.10,0.48,427
2025-12-11 01:00:09.019,60,1.67,0.60,48,2.10,0.48,424
2025-12-11 01:00:09.971,60,1.67,0.60,48,2.10,0.48,444
2025-12-11 01:00:10.916,60,1.67,0.60,48,2.10,0.48,434
2025-12-11 01:00:11.849,60,1.67,0.60,48,2.10,0.48,431
2025-12-11 01:00:12.783,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 01:00:13.726,60,1.67,0.60,48,2.10,0.48,433
2025-12-11 01:00:14.679,60,1.67,0.60,48,2.10,0.48,446
2025-12-11 01:00:15.617,60,1.67,0.60,48,2.10,0.48,433
2025-12-11 01:00:16.575,60,1.67,0.60,48,2.10,0.48,447
2025-12-11 01:00:17.502,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:00:18.452,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 01:00:19.409,60,1.67,0.60,48,2.10,0.48,445
2025-12-11 01:00:20.352,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 01:00:21.289,60,1.67,0.60,48,2.10,0.48,433
2025-12-11 01:00:22.237,60,1.67,0.60,48,2.10,0.48,437
2025-12-11 01:00:23.172,60,1.67,0.60,48,2.10,0.48,424
2025-12-11 01:00:24.098,60,1.67,0.60,48,2.10,0.48,415
2025-12-11 01:00:31.469,60,1.67,0.60,48,2.10,0.48,450
2025-12-11 01:00:32.417,60,1.67,0.60,48,2.10,0.48,437
2025-12-11 01:00:33.361,60,1.67,0.60,48,2.10,0.48,433
2025-12-11 01:00:34.299,60,1.67,0.60,48,2.10,0.48,427
2025-12-11 01:00:35.233,60,1.67,0.60,48,2.10,0.48,424
2025-12-11 01:00:36.168,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 01:00:37.100,60,1.67,0.60,48,2.10,0.48,431
2025-12-11 01:00:38.041,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 01:00:38.966,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 01:00:39.895,60,1.67,0.60,48,2.10,0.48,426
2025-12-11 01:00:40.825,60,1.67,0.60,48,2.10,0.48,419
2025-12-11 01:00:41.766,60,1.67,0.60,48,2.10,0.48,430
2025-12-11 01:00:42.684,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:00:46.160,60,1.67,0.60,48,2.10,0.48,451
2025-12-11 01:00:47.101,60,1.67,0.60,48,2.10,0.48,430
2025-12-11 01:00:48.046,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 01:00:48.991,60,1.67,0.60,48,2.10,0.48,434
2025-12-11 01:00:49.937,60,1.67,0.60,48,2.10,0.48,436
2025-12-11 01:00:50.878,60,1.67,0.60,48,2.10,0.48,439
2025-12-11 01:00:51.875,60,1.67,0.60,48,2.10,0.48,486
2025-12-11 01:00:52.803,60,1.67,0.60,48,2.10,0.48,418
2025-12-11 01:00:53.742,60,1.67,0.60,48,2.10,0.48,433
2025-12-11 01:00:54.689,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 01:00:57.642,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 01:00:58.592,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 01:00:59.535,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 01:01:00.466,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 01:01:01.406,60,1.67,0.60,48,2.10,0.48,429
2025-12-11 01:01:02.347,60,1.67,0.60,48,2.10,0.48,439
2025-12-11 01:01:03.301,60,1.67,0.60,48,2.10,0.48,443
2025-12-11 01:01:04.226,60,1.67,0.60,48,2.10,0.48,414
2025-12-11 01:01:05.158,60,1.67,0.60,48,2.10,0.48,429
2025-12-11 01:01:06.091,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 01:01:07.022,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 01:01:07.956,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 01:01:08.880,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 01:01:09.807,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:10.758,60,1.67,0.60,48,2.10,0.48,449
2025-12-11 01:01:11.693,60,1.67,0.60,48,2.10,0.48,424
2025-12-11 01:01:12.619,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:13.580,60,1.67,0.60,48,2.10,0.48,450
2025-12-11 01:01:14.507,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:15.444,60,1.67,0.60,48,2.10,0.48,426
2025-12-11 01:01:16.368,60,1.67,0.60,48,2.10,0.48,419
2025-12-11 01:01:17.300,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 01:01:18.243,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 01:01:19.176,60,1.67,0.60,48,2.10,0.48,423
2025-12-11 01:01:20.133,60,1.67,0.60,48,2.10,0.48,446
2025-12-11 01:01:21.105,60,1.67,0.60,48,2.10,0.48,461
2025-12-11 01:01:22.034,60,1.67,0.60,48,2.10,0.48,419
2025-12-11 01:01:22.971,60,1.67,0.60,48,2.10,0.48,426
2025-12-11 01:01:23.921,60,1.67,0.60,48,2.10,0.48,439
2025-12-11 01:01:24.848,60,1.67,0.60,48,2.10,0.48,417
2025-12-11 01:01:27.711,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 01:01:28.651,60,1.67,0.60,48,2.10,0.48,437
2025-12-11 01:01:29.576,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 01:01:30.513,60,1.67,0.60,48,2.10,0.48,426
2025-12-11 01:01:31.455,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 01:01:32.398,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 01:01:33.349,60,1.67,0.60,48,2.10,0.48,441
2025-12-11 01:01:34.276,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:35.208,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 01:01:36.139,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 01:01:37.094,60,1.67,0.60,48,2.10,0.48,445
2025-12-11 01:01:38.036,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 01:01:38.957,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:39.878,60,1.67,0.60,48,2.10,0.48,418
2025-12-11 01:01:40.821,60,1.67,0.60,48,2.10,0.48,434
2025-12-11 01:01:41.748,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:42.671,60,1.67,0.60,48,2.10,0.48,419
2025-12-11 01:01:43.598,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:44.537,60,1.67,0.60,48,2.10,0.48,437
2025-12-11 01:01:45.476,60,1.67,0.60,48,2.10,0.48,429
2025-12-11 01:01:46.417,60,1.67,0.60,48,2.10,0.48,438
2025-12-11 01:01:47.349,60,1.67,0.60,48,2.10,0.48,421
2025-12-11 01:01:48.276,60,1.67,0.60,48,2.10,0.48,416
2025-12-11 01:01:49.232,60,1.67,0.60,48,2.10,0.48,446
2025-12-11 01:01:50.166,60,1.67,0.60,48,2.10,0.48,427
2025-12-11 01:01:51.124,60,1.67,0.60,48,2.10,0.48,447
2025-12-11 01:01:52.051,60,1.67,0.60,48,2.10,0.48,417
2025-12-11 01:01:53.000,60,1.67,0.60,48,2.10,0.48,438
2025-12-11 01:01:53.943,60,1.67,0.60,48,2.10,0.48,432
2025-12-11 01:01:54.896,60,1.67,0.60,48,2.10,0.48,442
