timestamp,team_1_yes,team_1_no,team_2_yes,team_2_no
2025-12-05T18:38:39.883396+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:39:02.788713+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:39:25.845013+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:39:39.391492+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:39:52.799812+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:40:06.988889+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:40:25.612079+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:40:43.776475+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:40:57.131809+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:41:15.019331+00:00,0.3900,0.6200,0.6300,0.3800
