timestamp,tulane_cents,tulane_decimal,tulane_probability,northtexas_cents,northtexas_decimal,northtexas_probability,latency_ms
2025-12-05 19:08:45.470,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:08:46.515,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:08:47.559,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:08:48.624,60,1.68,0.60,49,2.05,0.49,559
2025-12-05 19:08:49.680,60,1.68,0.60,49,2.05,0.49,554
2025-12-05 19:08:50.743,60,1.68,0.60,49,2.05,0.49,558
2025-12-05 19:08:51.813,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:08:52.857,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:08:53.905,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:08:54.958,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:08:56.608,60,1.68,0.60,49,2.05,0.49,1129
2025-12-05 19:08:58.013,60,1.68,0.60,49,2.05,0.49,815
2025-12-05 19:08:59.060,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:09:00.122,60,1.68,0.60,49,2.05,0.49,556
2025-12-05 19:09:01.189,60,1.68,0.60,49,2.05,0.49,561
2025-12-05 19:09:02.231,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:09:03.391,60,1.68,0.60,49,2.05,0.49,560
2025-12-05 19:09:04.454,60,1.68,0.60,49,2.05,0.49,559
2025-12-05 19:09:05.539,60,1.68,0.60,49,2.05,0.49,579
2025-12-05 19:09:06.591,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:09:07.657,60,1.68,0.60,49,2.05,0.49,565
2025-12-05 19:09:08.989,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:09:10.065,60,1.68,0.60,49,2.05,0.49,570
2025-12-05 19:09:11.107,60,1.68,0.60,49,2.05,0.49,536
2025-12-05 19:09:12.154,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:09:13.224,60,1.68,0.60,49,2.05,0.49,565
2025-12-05 19:09:14.285,60,1.68,0.60,49,2.05,0.49,536
2025-12-05 19:09:15.329,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:09:16.380,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:09:17.429,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:09:18.467,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:09:19.600,60,1.68,0.60,49,2.05,0.49,631
2025-12-05 19:09:20.655,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:09:21.700,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:09:22.766,60,1.68,0.60,49,2.05,0.49,560
2025-12-05 19:09:23.820,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:09:24.918,60,1.68,0.60,49,2.05,0.49,596
2025-12-05 19:09:25.970,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:09:27.033,60,1.68,0.60,49,2.05,0.49,560
